round,model_type,model_name,parameters,accuracy,precision,recall,f1,roc_auc,timestamp
1,linear,LogisticRegression,default,0.8738512626457642,0.8737435376816843,0.8738512626457642,0.87349958625945,0.9270019751494818,2025-12-05 01:56:03
1,linear,KNeighborsClassifier,default,0.9201096609776817,0.9213932430859681,0.9201096609776817,0.9196487073423834,0.9620302610703988,2025-12-05 01:56:11
1,linear,GaussianNB,default,0.8388678662444976,0.8387283819107931,0.8388678662444976,0.838146587475811,0.8979062189766351,2025-12-05 01:56:11
1,tree,DecisionTree,default,0.9457487064638196,0.9457776897680227,0.9457487064638196,0.9457605528282601,0.9450230683903663,2025-12-05 01:56:13
1,tree,RandomForest,default,0.9604602672021005,0.960797301803471,0.9604602672021005,0.9603622528136491,0.9931535301371173,2025-12-05 01:56:40
1,tree,XGBoost,default,0.9615028187504827,0.9616461104333218,0.9615028187504827,0.9614362806291132,0.9950743410876631,2025-12-05 01:56:41
1,tree,LightGBM,default,0.962738435400417,0.963023983420814,0.962738435400417,0.9626539923208984,0.9949366076257741,2025-12-05 01:56:41
1,tree,AdaBoost,default,0.9101861147578963,0.9101963260231613,0.9101861147578963,0.909988873268865,0.9705170931695253,2025-12-05 01:56:51
1,tree,Bagging,default,0.9585682292068886,0.9588257250833296,0.9585682292068886,0.9584753936616617,0.9900720408778667,2025-12-05 01:57:03
1,tree,ExtraTrees,default,0.9576415167194378,0.9580053069382287,0.9576415167194378,0.957530705671311,0.9924541710921015,2025-12-05 01:57:21
